Topic,Words,Frequency,Timestamp,Name
31,"snow, shimbun mysterious particles, business ski resort, slide asahi shimbun, combat problems",3,2020-01-23 00:50:39.000000000,31_ice_antarctica_melt_warm
32,"india people, detect india people, case detect india, india people quarantine, coronavirus case detect",1,2020-01-23 00:50:39.000000000,32_india_coronavirus_lockdown_covid
33,"turkey, migrants return turkey, return turkey, migrants return, migrants",2,2020-01-23 00:50:39.000000000,33_greece_greek_migrants_turkey
34,"scientists, midnight, visa, midnight human cause, catastrophes like",2,2020-01-23 00:50:39.000000000,34_earth_nasa_asteroid_star
35,"impeachment, trial trump, trial, trump, impeachment trial",9,2020-01-23 00:50:39.000000000,35_impeachment_trump_trial_witness
36,"greta, thunberg, greta thunberg, davos, climate",10,2020-01-23 00:50:39.000000000,36_greta_thunberg_greta thunberg_climate
38,"puerto, earthquake, puerto rico, rico, guillotine",6,2020-01-23 00:50:39.000000000,38_earthquake_magnitude_magnitude earthq...
39,"half cabinet women, women nonbinary people, profile endorsement, promise half cabinet, warren promise",2,2020-01-23 00:50:39.000000000,39_sanders_bernie_bernie sanders_sanders...
41,"huawei, chinese tech giant, chinese tech, tech giant, network",3,2020-01-23 00:50:39.000000000,41_huawei_network_giant huawei_giant
42,"extradition, dunn, harry dunn, extradition request, harry",14,2020-01-23 00:50:39.000000000,42_assange_julian assange_julian_extradi...
-1,"coronavirus, china, say, new, danish",331,2020-01-27 10:36:45.200000000,-1_coronavirus_covid_say_test
0,"china, wuhan, coronavirus, virus, chinese",225,2020-01-27 10:36:45.200000000,0_china_coronavirus_chinese_wuhan
1,"pakistan, germany, sex, germany confirm, confirm",61,2020-01-27 10:36:45.200000000,1_pakistan_india_school_coronavirus
2,"iran, erdogan, troop, syria, northwest syria",17,2020-01-27 10:36:45.200000000,2_iran_iraq_soleimani_iranian
3,"ukraine, putin, influenza, state, state state infect",27,2020-01-27 10:36:45.200000000,3_putin_death_toll_death toll
4,"trump, charge pandemic response, underprepared coronavirus, dwp stop, trump wilbur",6,2020-01-27 10:36:45.200000000,4_trump_coronavirus_fund_white house
5,"mask, surgical mask, surgical, face mask, ban export surgical",13,2020-01-27 10:36:45.200000000,5_mask_face mask_face_ventilators
6,"coronavirus, health, health emergency, global health, emergency",41,2020-01-27 10:36:45.200000000,6_coronavirus_case_coronavirus case_pand...
7,"peace, plan, israel, peace plan, palestinian",74,2020-01-27 10:36:45.200000000,7_israel_palestinian_netanyahu_israeli
8,"chicks, farm, shred, animals, pet",24,2020-01-27 10:36:45.200000000,8_dog_animals_meat_cat
9,"regional voters thwart, taranto, month europe taranto, right wing force, people month europe",3,2020-01-27 10:36:45.200000000,9_italy_italian_coronavirus_deaths
10,"brexit, johnson, boris, boris johnson, euronews",34,2020-01-27 10:36:45.200000000,10_johnson_boris_boris johnson_brexit
11,"stock, recession, drive, spur investment small, risk suffer long",7,2020-01-27 10:36:45.200000000,11_stock_economy_recession_market
12,"plane, crash, iran, highway, boeing",5,2020-01-27 10:36:45.200000000,12_plane_crash_iran_ukrainian
13,"suspect case coronavirus, brazil, suspect case, coronavirus brazil confirm, case coronavirus brazil",4,2020-01-27 10:36:45.200000000,13_brazil_bolsonaro_brazilian_president
14,"aunt reappear, jong aunt reappear, years purge, reappear years purge, reappear years",1,2020-01-27 10:36:45.200000000,14_kim_jong_kim jong_north
15,"australia, need pay, australians trap, trap wuhan need, wuhan need pay",10,2020-01-27 10:36:45.200000000,15_australia_bushfires_australian_fire
16,"japan, visit china, link recent, visit china contract, bus driver visit",7,2020-01-27 10:36:45.200000000,16_japan_tokyo_olympics_japanese
17,"toronto, canada, patient discharge toronto, discharge toronto, discharge toronto hospital",8,2020-01-27 10:36:45.200000000,17_canada_trudeau_canadian_covid
18,"taiwan, participation coronavirus, taiwan participation coronavirus, abe call taiwan, japan abe call",9,2020-01-27 10:36:45.200000000,18_taiwan_china_tsai_support taiwan
19,"auschwitz, germany, survivors, german, liberation",14,2020-01-27 10:36:45.200000000,19_germany_german_far right_right
20,"mexico, tunnel, border, smuggle tunnel, wall",23,2020-01-27 10:36:45.200000000,20_mexico_mexican_border_drug
21,"afghanistan, taliban, military plane, plane, bomb afghanistan",25,2020-01-27 10:36:45.200000000,21_taliban_afghanistan_kill_afghan
22,"korea, south, north korea, south korea, north",4,2020-01-27 10:36:45.200000000,22_korea_south_south korea_north korea
24,"cruise, ship, cruise ship, cruise ship italy, ship italy",6,2020-01-27 10:36:45.200000000,24_cruise_ship_cruise ship_passengers
25,"carbon, climate, emissions, coal, carbon tax",17,2020-01-27 10:36:45.200000000,25_climate_carbon_emissions_climate chan...
26,"facebook, scandals, privacy, profit, supporters defend social",5,2020-01-27 10:36:45.200000000,26_facebook_youtube_google_zoom
27,"venezuela, economic free fall, venezuela weigh, privatize oil face, weigh privatize oil",6,2020-01-27 10:36:45.200000000,27_venezuela_maduro_venezuelan_coup
28,"russia report coronavirus, russia report, report coronavirus case, report coronavirus, russia",1,2020-01-27 10:36:45.200000000,28_russia_putin_moscow_coronavirus
29,"vaccine, coronavirus vaccine, develop coronavirus vaccine, develop coronavirus, develop",8,2020-01-27 10:36:45.200000000,29_vaccine_coronavirus vaccine_coronavir...
30,"oil, contain largest oil, barrel oil figure, contain largest, figure contain",1,2020-01-27 10:36:45.200000000,30_oil_price_oil price_saudi
31,"antarctica, glacier, beneath, doomsday, warm",5,2020-01-27 10:36:45.200000000,31_ice_antarctica_melt_warm
32,"india, kerala, case coronavirus, case, confirm",12,2020-01-27 10:36:45.200000000,32_india_coronavirus_lockdown_covid
33,"greece, greece want, migrants, float, turkish",4,2020-01-27 10:36:45.200000000,33_greece_greek_migrants_turkey
34,"earth, sun, collide, space, surface",11,2020-01-27 10:36:45.200000000,34_earth_nasa_asteroid_star
35,"impeachment, witness, impeachment trial, trial, mcconnell",16,2020-01-27 10:36:45.200000000,35_impeachment_trump_trial_witness
36,"greta, thunberg, greta thunberg, trademark, movement",7,2020-01-27 10:36:45.200000000,36_greta_thunberg_greta thunberg_climate
37,"amazon employees, amazon, employees, policy, violate company",5,2020-01-27 10:36:45.200000000,37_amazon_airlines_flight_airline
38,"earthquake, jamaica, magnitude, magnitude earthquake, cuba",9,2020-01-27 10:36:45.200000000,38_earthquake_magnitude_magnitude earthq...
40,"suv, shots, gun, mar lago, lago",6,2020-01-27 10:36:45.200000000,40_gun_shoot_assault_canada
41,"huawei, network, chinese intelligence, johnson, johnson huawei",22,2020-01-27 10:36:45.200000000,41_huawei_network_giant huawei_giant
42,"assange, torture, julian assange, julian, extradition",5,2020-01-27 10:36:45.200000000,42_assange_julian assange_julian_extradi...
-1,"coronavirus, china, flu, say, ban",306,2020-01-31 20:22:51.400000000,-1_coronavirus_covid_say_test
0,"china, wuhan, coronavirus, virus, chinese",150,2020-01-31 20:22:51.400000000,0_china_coronavirus_chinese_wuhan
1,"women, pakistan, female, harassment, women report",42,2020-01-31 20:22:51.400000000,1_pakistan_india_school_coronavirus
2,"turkey, iran, idlib, advance idlib, syrian",19,2020-01-31 20:22:51.400000000,2_iran_iraq_soleimani_iranian
3,"ukraine, trump, death, win turn zombie, win turn",19,2020-01-31 20:22:51.400000000,3_putin_death_toll_death toll
4,"trump, rush limbaugh announce, limbaugh announce, lung cancer, advance lung",6,2020-01-31 20:22:51.400000000,4_trump_coronavirus_fund_white house
5,"mask, face mask, face, wear, gas mask",16,2020-01-31 20:22:51.400000000,5_mask_face mask_face_ventilators
6,"coronavirus, lurk feces, lurk feces reveal, reveal hide risk, reveal hide",20,2020-01-31 20:22:51.400000000,6_coronavirus_case_coronavirus case_pand...
7,"israel, palestinian, plan, peace, peace plan",30,2020-01-31 20:22:51.400000000,7_israel_palestinian_netanyahu_israeli
8,"chickens, bird, bird flu, coronavirus epicentre, deadly bird",25,2020-01-31 20:22:51.400000000,8_dog_animals_meat_cat
9,"refugees rescue, italy accept, rampant misinformation, coronavirus push rampant, protect coronavirus push",2,2020-01-31 20:22:51.400000000,9_italy_italian_coronavirus_deaths
10,"brexit, johnson, boris, boris johnson, trade",45,2020-01-31 20:22:51.400000000,10_johnson_boris_boris johnson_brexit
11,"worst day, plunge, worst day years, day years, chinese stock",8,2020-01-31 20:22:51.400000000,11_stock_economy_recession_market
12,"plane, iran, show iran know, land madrid, iran know",13,2020-01-31 20:22:51.400000000,12_plane_crash_iran_ukrainian
13,"phoenix urge, vegan london protest, joaquin phoenix, people vegan, joaquin",1,2020-01-31 20:22:51.400000000,13_brazil_bolsonaro_brazilian_president
14,"korean, north, wrong state, play friendly north, fan compensate",3,2020-01-31 20:22:51.400000000,14_kim_jong_kim jong_north
15,"australia, guerrilla bushfire campaign, unsanctioned, late leave, art guerrilla bushfire",2,2020-01-31 20:22:51.400000000,15_australia_bushfires_australian_fire
16,"japan, japanese, tokyo, japanese government official, survey find japanese",6,2020-01-31 20:22:51.400000000,16_japan_tokyo_olympics_japanese
17,"canada, evidence justify, fall question, canada airport coronavirus, canada airport",5,2020-01-31 20:22:51.400000000,17_canada_trudeau_canadian_covid
18,"taiwan, taiwan news, inside website, inside website taiwan, page inside website",11,2020-01-31 20:22:51.400000000,18_taiwan_china_tsai_support taiwan
19,"world war, war, stone death barbaric, swedish pin rise, university residence",7,2020-01-31 20:22:51.400000000,19_germany_german_far right_right
20,"mexico, butterfly, video game arcade, game arcade, arcade",10,2020-01-31 20:22:51.400000000,20_mexico_mexican_border_drug
21,"burkina, burkina faso, faso, civilians, afghanistan",4,2020-01-31 20:22:51.400000000,21_taliban_afghanistan_kill_afghan
22,"korea, south, north korea, kim offer, kim offer condolences",5,2020-01-31 20:22:51.400000000,22_korea_south_south korea_north korea
24,"cruise, cruise ship, ship, japanese cruise, japanese cruise ship",4,2020-01-31 20:22:51.400000000,24_cruise_ship_cruise ship_passengers
25,"energy, tidal energy project, develop crisis communities, develop crisis, crisis communities run",4,2020-01-31 20:22:51.400000000,25_climate_carbon_emissions_climate chan...
26,"facebook, piss, zuckerberg say, zuckerberg, social media",9,2020-01-31 20:22:51.400000000,26_facebook_youtube_google_zoom
27,"venezuela, maersk, knowledge crew, street seller city, pills stamp",4,2020-01-31 20:22:51.400000000,27_venezuela_maduro_venezuelan_coup
28,"russia, russia deport, foreigners, foreigners coronavirus, deport",3,2020-01-31 20:22:51.400000000,28_russia_putin_moscow_coronavirus
29,"fda approve, peanut, approve, fda, vaccine",2,2020-01-31 20:22:51.400000000,29_vaccine_coronavirus vaccine_coronavir...
30,"oil, opec cut, bigger opec, fear outweigh, fear outweigh hop",2,2020-01-31 20:22:51.400000000,30_oil_price_oil price_saudi
31,"permafrost, antarctica, ice, melt, thaw",9,2020-01-31 20:22:51.400000000,31_ice_antarctica_melt_warm
32,"area case, coronavirus case india, case india, area, case",3,2020-01-31 20:22:51.400000000,32_india_coronavirus_lockdown_covid
33,"greece, greek, lesbos, refugees, turkish",5,2020-01-31 20:22:51.400000000,33_greece_greek_migrants_turkey
34,"earth, planet, spacex, astronomers, pluto freeze",9,2020-01-31 20:22:51.400000000,34_earth_nasa_asteroid_star
35,"witness, impeachment, senate, acquittal, vote",19,2020-01-31 20:22:51.400000000,35_impeachment_trump_trial_witness
36,"thunberg, greta, greta thunberg, nobel, nominate",6,2020-01-31 20:22:51.400000000,36_greta_thunberg_greta thunberg_climate
37,"boeing, workers, amazon, company silence, object amazon employees",3,2020-01-31 20:22:51.400000000,37_amazon_airlines_flight_airline
39,"sanders, bernie, bernie sanders, iowa, presidential",6,2020-01-31 20:22:51.400000000,39_sanders_bernie_bernie sanders_sanders...
40,"gun, shoot, officer, gunman, catch man load",4,2020-01-31 20:22:51.400000000,40_gun_shoot_assault_canada
41,"huawei, universal, apple, phone, despite iphone",2,2020-01-31 20:22:51.400000000,41_huawei_network_giant huawei_giant
42,"extradition, minimize severity techniques, allege roles plot, minimize severity, charge allege roles",2,2020-01-31 20:22:51.400000000,42_assange_julian assange_julian_extradi...
-1,"coronavirus, say, kill, doctor, new",252,2020-02-05 06:08:57.600000000,-1_coronavirus_covid_say_test
0,"china, coronavirus, wuhan, chinese, death",128,2020-02-05 06:08:57.600000000,0_china_coronavirus_chinese_wuhan
1,"girl, pakistan, rap, menstrual cycle, court",59,2020-02-05 06:08:57.600000000,1_pakistan_india_school_coronavirus
2,"iran, iraqi, officials isis, likely rocket, iran likely rocket",22,2020-02-05 06:08:57.600000000,2_iran_iraq_soleimani_iranian
3,"death toll, toll, death, tencent, coronavirus death",33,2020-02-05 06:08:57.600000000,3_putin_death_toll_death toll
4,"trump, house democrats push, stop coronavirus outbreak, falsely claim coronavirus, commit felons",5,2020-02-05 06:08:57.600000000,4_trump_coronavirus_fund_white house
5,"mask, coronavirus hate, face mask, hate, face",7,2020-02-05 06:08:57.600000000,5_mask_face mask_face_ventilators
6,"coronavirus, expert, outbreak, outbreak controversy, request million global",9,2020-02-05 06:08:57.600000000,6_coronavirus_case_coronavirus case_pand...
7,"israeli, palestinian, israel, peace plan, peace",32,2020-02-05 06:08:57.600000000,7_israel_palestinian_netanyahu_israeli
8,"botswana, elephant, auction, meat, elephant hunt",20,2020-02-05 06:08:57.600000000,8_dog_animals_meat_cat
9,"high speed train, speed train, train derail, speed train derail, dead italy high",1,2020-02-05 06:08:57.600000000,9_italy_italian_coronavirus_deaths
10,"johnson, boris, boris johnson, brexit, irish",20,2020-02-05 06:08:57.600000000,10_johnson_boris_boris johnson_brexit
11,"germans, older germans, economic, impact, economic impact",6,2020-02-05 06:08:57.600000000,11_stock_economy_recession_market
12,"plane, crash, boeing, runway, istanbul",12,2020-02-05 06:08:57.600000000,12_plane_crash_iran_ukrainian
13,"brazil, indigenous, missionary, bolsonaro, evangelical missionary",5,2020-02-05 06:08:57.600000000,13_brazil_bolsonaro_brazilian_president
15,"australia, fire, australia fire, nsw, rain",8,2020-02-05 06:08:57.600000000,15_australia_bushfires_australian_fire
16,"tokyo, japan, olympics, tokyo olympics, olympic",6,2020-02-05 06:08:57.600000000,16_japan_tokyo_olympics_japanese
17,"canadian, canadian company spot, little help global, wuhan receive little, care canadian stick",5,2020-02-05 06:08:57.600000000,17_canada_trudeau_canadian_covid
18,"taiwan, taipei, china taipei, china, taiwan taiwan",9,2020-02-05 06:08:57.600000000,18_taiwan_china_tsai_support taiwan
19,"far right, far, right, german, germany",14,2020-02-05 06:08:57.600000000,19_germany_german_far right_right
20,"escobar, escobar hitman, hitman, pablo escobar, pablo",6,2020-02-05 06:08:57.600000000,20_mexico_mexican_border_drug
21,"afghanistan, drone operator, operator, drop missile, drone",12,2020-02-05 06:08:57.600000000,21_taliban_afghanistan_kill_afghan
22,"korea, korea case coronavirus, north korea case, korea case, north korea",4,2020-02-05 06:08:57.600000000,22_korea_south_south korea_north korea
24,"cruise, ship, cruise ship, passengers, quarantine cruise",17,2020-02-05 06:08:57.600000000,24_cruise_ship_cruise ship_passengers
25,"climate, carbon, carbon footprint, footprint, emissions",9,2020-02-05 06:08:57.600000000,25_climate_carbon_emissions_climate chan...
26,"facebook, data, service patients, medical data, lead experts field",5,2020-02-05 06:08:57.600000000,26_facebook_youtube_google_zoom
27,"venezuela, guaid, oil executives, juan, oil",9,2020-02-05 06:08:57.600000000,27_venezuela_maduro_venezuelan_coup
28,"russia, authorities, authorities call little, background radiation, flu authorities ask",4,2020-02-05 06:08:57.600000000,28_russia_putin_moscow_coronavirus
29,"race vaccine, coronavirus significant breakthrough, race vaccine scientists, breakthrough race, coronavirus significant",1,2020-02-05 06:08:57.600000000,29_vaccine_coronavirus vaccine_coronavir...
30,"oil, worth profit, saudi arabia public, rally new year, quarter massive",2,2020-02-05 06:08:57.600000000,30_oil_price_oil price_saudi
31,"antarctica, hottest temperature, temperature, ice, record",17,2020-02-05 06:08:57.600000000,31_ice_antarctica_melt_warm
33,"greece, clash, ethnic clash rural, send riot police, migrant clash",3,2020-02-05 06:08:57.600000000,33_greece_greek_migrants_turkey
34,"earth, uranus, neptune, alien, solar",6,2020-02-05 06:08:57.600000000,34_earth_nasa_asteroid_star
35,"impeachment, acquit, trump, senate, trump acquit",51,2020-02-05 06:08:57.600000000,35_impeachment_trump_trial_witness
36,"climate hypocrisy, hypocrisy, greta, thunberg, greta thunberg",2,2020-02-05 06:08:57.600000000,36_greta_thunberg_greta thunberg_climate
37,"storm, record, flight, condition, plane record fastest",3,2020-02-05 06:08:57.600000000,37_amazon_airlines_flight_airline
38,"white house threaten, house aid, earthquake recovery, house aid puerto, house threaten",1,2020-02-05 06:08:57.600000000,38_earthquake_magnitude_magnitude earthq...
39,"iowa, iowa caucus, caucus, sanders, buttigieg",7,2020-02-05 06:08:57.600000000,39_sanders_bernie_bernie sanders_sanders...
41,"huawei, nokia ericsson, nokia, ericsson, network",7,2020-02-05 06:08:57.600000000,41_huawei_network_giant huawei_giant
42,"dunn, harry dunn, harry, assange, spy",4,2020-02-05 06:08:57.600000000,42_assange_julian assange_julian_extradi...
-1,"coronavirus, say, trump, world, new",285,2020-02-09 15:55:03.800000000,-1_coronavirus_covid_say_test
0,"china, coronavirus, wuhan, chinese, outbreak",95,2020-02-09 15:55:03.800000000,0_china_coronavirus_chinese_wuhan
1,"islam, school, mila, sex, french",39,2020-02-09 15:55:03.800000000,1_pakistan_india_school_coronavirus
2,"iran, fail, satellite, orbit, syria",25,2020-02-09 15:55:03.800000000,2_iran_iraq_soleimani_iranian
3,"putin, trump, toll, death toll, death",22,2020-02-09 15:55:03.800000000,3_putin_death_toll_death toll
4,"trump, fund, foreign, listen, foreign fund trump",16,2020-02-09 15:55:03.800000000,4_trump_coronavirus_fund_white house
5,"mask, wear, allow pilot, wear creative, scientists pioneer mask",6,2020-02-09 15:55:03.800000000,5_mask_face mask_face_ventilators
6,"coronavirus, superspreader, coronavirus officially, infect, health",32,2020-02-09 15:55:03.800000000,6_coronavirus_case_coronavirus case_pand...
7,"israel, israeli, palestinian, peace, plan",31,2020-02-09 15:55:03.800000000,7_israel_palestinian_netanyahu_israeli
8,"food price, food, bird, rush help, rush help pet",9,2020-02-09 15:55:03.800000000,8_dog_animals_meat_cat
9,"italy, salvini, immunity far, accusations illegally detain, detain migrants",4,2020-02-09 15:55:03.800000000,9_italy_italian_coronavirus_deaths
10,"johnson, boris, boris johnson, brexit, sinn",23,2020-02-09 15:55:03.800000000,10_johnson_boris_boris johnson_brexit
11,"economy, win, poor, recession, stock",13,2020-02-09 15:55:03.800000000,11_stock_economy_recession_market
12,"boeing enroute moscow, land usinsk, boeing enroute, moscow crash, northern russia",1,2020-02-09 15:55:03.800000000,12_plane_crash_iran_ukrainian
13,"brazil, discover mysterious, scientists discover mysterious, genes, mysterious",10,2020-02-09 15:55:03.800000000,13_brazil_bolsonaro_brazilian_president
14,"north, north korea, nuclear missile, enhance nuclear, enhance nuclear missile",5,2020-02-09 15:55:03.800000000,14_kim_jong_kim jong_north
15,"australia, bushfires, fire, rain, australian",9,2020-02-09 15:55:03.800000000,15_australia_bushfires_australian_fire
16,"japan, tokyo, olympics japan, olympics, japanese",7,2020-02-09 15:55:03.800000000,16_japan_tokyo_olympics_japanese
17,"sheriff unit, republican candidates, ambassador canada, choose aldona wos, give republican",2,2020-02-09 15:55:03.800000000,17_canada_trudeau_canadian_covid
18,"taiwan, reject taiwan, taiwan scramble jet, scramble jet, taiwan scramble",10,2020-02-09 15:55:03.800000000,18_taiwan_china_tsai_support taiwan
19,"germany, annegret, annegret kramp, annegret kramp karrenbauer, karrenbauer",8,2020-02-09 15:55:03.800000000,19_germany_german_far right_right
20,"mexico, region use gun, siege desperate, mexico region, gun children fend",6,2020-02-09 15:55:03.800000000,20_mexico_mexican_border_drug
21,"taliban, promise reduce violence, reduce violence, promise reduce, peace deal taliban",5,2020-02-09 15:55:03.800000000,21_taliban_afghanistan_kill_afghan
22,"korea, north korea, north, crisis crazy, north korea secret",8,2020-02-09 15:55:03.800000000,22_korea_south_south korea_north korea
24,"cruise, ship, cruise ship, princess, diamond princess",14,2020-02-09 15:55:03.800000000,24_cruise_ship_cruise ship_passengers
25,"climate, emissions, carbon, coal, cascade",24,2020-02-09 15:55:03.800000000,25_climate_carbon_emissions_climate chan...
26,"chokehold axios, evade putin, users set lose, users set, algorithms",4,2020-02-09 15:55:03.800000000,26_facebook_youtube_google_zoom
28,"report russian couple, russian couple face, charge wed, include fsb, russia think coronavirus",2,2020-02-09 15:55:03.800000000,28_russia_putin_moscow_coronavirus
29,"vaccine, vaccine hours, coronavirus vaccine, discover, covid vaccine hours",3,2020-02-09 15:55:03.800000000,29_vaccine_coronavirus vaccine_coronavir...
30,"saudi endorse trump, endorse trump deal, saudi endorse, endorse trump, trump deal century",1,2020-02-09 15:55:03.800000000,30_oil_price_oil price_saudi
31,"antarctica, ice, melt, ocean, antarctic",18,2020-02-09 15:55:03.800000000,31_ice_antarctica_melt_warm
32,"kill self, india, wrongly, self, medical student",4,2020-02-09 15:55:03.800000000,32_india_coronavirus_lockdown_covid
33,"refugee, greek, accuse stoke, accuse stoke unrest, stoke unrest",3,2020-02-09 15:55:03.800000000,33_greece_greek_migrants_turkey
34,"radio signal, signal, radio, repeat, space",8,2020-02-09 15:55:03.800000000,34_earth_nasa_asteroid_star
35,"impeachment, romney, trump, trial, trump impeachment",4,2020-02-09 15:55:03.800000000,35_impeachment_trump_trial_witness
36,"thunberg, greta, greta thunberg, climate, international crusade climate",3,2020-02-09 15:55:03.800000000,36_greta_thunberg_greta thunberg_climate
37,"british airways, airways, british, flight, london",5,2020-02-09 15:55:03.800000000,37_amazon_airlines_flight_airline
38,"puerto, rico, puerto rico, earthquake, magnitude",3,2020-02-09 15:55:03.800000000,38_earthquake_magnitude_magnitude earthq...
39,"sanders, bernie, bernie sanders, primary, democratic",8,2020-02-09 15:55:03.800000000,39_sanders_bernie_bernie sanders_sanders...
40,"situation forrest, arkansas walmart ontario, dead officer, officer shoot, officer shoot active",2,2020-02-09 15:55:03.800000000,40_gun_shoot_assault_canada
41,"huawei, network, giant huawei, huawei backdoor access, huawei backdoor",10,2020-02-09 15:55:03.800000000,41_huawei_network_giant huawei_giant
42,"reportedly cia, teen death reportedly, anne sacoolas claim, death reportedly, death reportedly cia",1,2020-02-09 15:55:03.800000000,42_assange_julian assange_julian_extradi...
-1,"coronavirus, say, wet, pipeline, leak",247,2020-02-14 01:41:10.000000000,-1_coronavirus_covid_say_test
0,"china, coronavirus, chinese, wuhan, case",75,2020-02-14 01:41:10.000000000,0_china_coronavirus_chinese_wuhan
1,"pakistan, india, visit, transgender, slum",49,2020-02-14 01:41:10.000000000,1_pakistan_india_school_coronavirus
2,"iran, soleimani, kill, iraq, trump",25,2020-02-14 01:41:10.000000000,2_iran_iraq_soleimani_iranian
3,"badger, trump, corrupt, russia, ukraine",13,2020-02-14 01:41:10.000000000,3_putin_death_toll_death toll
4,"years presidential, years presidential salary, golf tab years, trump trip, mar lago bring",3,2020-02-14 01:41:10.000000000,4_trump_coronavirus_fund_white house
5,"mask, join online, million join online, police reject claim, police reject",2,2020-02-14 01:41:10.000000000,5_mask_face mask_face_ventilators
6,"cause, coronavirus, disease patients, early knowledge, secretive talk",7,2020-02-14 01:41:10.000000000,6_coronavirus_case_coronavirus case_pand...
7,"israel, gaza, israeli, palestinian, cancel ease",22,2020-02-14 01:41:10.000000000,7_israel_palestinian_netanyahu_israeli
8,"likely survive, china appetite, live frog, wildlife likely, wildlife likely survive",6,2020-02-14 01:41:10.000000000,8_dog_animals_meat_cat
9,"navy smaller, navy smaller italy, smaller italy, royal navy smaller, royal navy",1,2020-02-14 01:41:10.000000000,9_italy_italian_coronavirus_deaths
10,"johnson, boris, boris johnson, brexit, differences",26,2020-02-14 01:41:10.000000000,10_johnson_boris_boris johnson_brexit
11,"economy, recession, world largest economy, largest economy, japan",15,2020-02-14 01:41:10.000000000,11_stock_economy_recession_market
12,"independent probe, probe down, iran independent probe, independent probe down, iran independent",1,2020-02-14 01:41:10.000000000,12_plane_crash_iran_ukrainian
13,"janeiro kill police, record police kill, janeiro kill, police soar, police soar murder",2,2020-02-14 01:41:10.000000000,13_brazil_bolsonaro_brazilian_president
14,"north, kim, north korea, korea, jong",2,2020-02-14 01:41:10.000000000,14_kim_jong_kim jong_north
15,"australia, climate summit, summit, urgent, climate",3,2020-02-14 01:41:10.000000000,15_australia_bushfires_australian_fire
16,"japan, olympics, tokyo, tokyo olympics, japanese",10,2020-02-14 01:41:10.000000000,16_japan_tokyo_olympics_japanese
17,"immigration force down, map depend look, redraws, immigration force, say google redraws",2,2020-02-14 01:41:10.000000000,17_canada_trudeau_canadian_covid
18,"taiwan, incursions, introduce taiwan, incursions flight, cruz introduce",5,2020-02-14 01:41:10.000000000,18_taiwan_china_tsai_support taiwan
19,"germany, german, far right, far, right",21,2020-02-14 01:41:10.000000000,19_germany_german_far right_right
20,"mexico, mexican, murder, women, year old",11,2020-02-14 01:41:10.000000000,20_mexico_mexican_border_drug
21,"taliban, kill, afghanistan, civilians residents, homeless drug users",8,2020-02-14 01:41:10.000000000,21_taliban_afghanistan_kill_afghan
22,"korea, south, shoot dead public, bath trip coronavirus, president klerk",4,2020-02-14 01:41:10.000000000,22_korea_south_south korea_north korea
24,"cruise, ship, cruise ship, princess, passengers",22,2020-02-14 01:41:10.000000000,24_cruise_ship_cruise ship_passengers
25,"climate, trinity college lawn, college lawn, trinity college, trinity",6,2020-02-14 01:41:10.000000000,25_climate_carbon_emissions_climate chan...
26,"facebook, mark zuckerberg, zuckerberg, mark, demand",8,2020-02-14 01:41:10.000000000,26_facebook_youtube_google_zoom
27,"venezuela, juan, say arrest juan, arrest juan, say arrest",8,2020-02-14 01:41:10.000000000,27_venezuela_maduro_venezuelan_coup
28,"russia break lock, break lock, jump windows, lock jump, russia break",1,2020-02-14 01:41:10.000000000,28_russia_putin_moscow_coronavirus
29,"vaccine, coronavirus vaccine, discover coronavirus vaccine, coronavirus vaccine hours, vaccine hours",5,2020-02-14 01:41:10.000000000,29_vaccine_coronavirus vaccine_coronavir...
30,"ivanka trump praise, equality progress, equality progress global, arabia gender equality, arabia gender",1,2020-02-14 01:41:10.000000000,30_oil_price_oil price_saudi
31,"ice, antarctica, melt, temperature, record",10,2020-02-14 01:41:10.000000000,31_ice_antarctica_melt_warm
32,"believe coronavirus kill, kill order stop, hawaii tourist couple, hunt clue hawaii, clue hawaii",2,2020-02-14 01:41:10.000000000,32_india_coronavirus_lockdown_covid
33,"millions desperate refugees, pin cross europe, cross europe, desperate refugees, turkey pin",1,2020-02-14 01:41:10.000000000,33_greece_greek_migrants_turkey
34,"approach earth, asteroid, earth, approach, search",6,2020-02-14 01:41:10.000000000,34_earth_nasa_asteroid_star
35,"ban indiana company, forcibly microchipping employees, employees government, senator oppose ban, employees government politics",1,2020-02-14 01:41:10.000000000,35_impeachment_trump_trial_witness
36,"super rich, greta, thunberg, greta thunberg, super",2,2020-02-14 01:41:10.000000000,36_greta_thunberg_greta thunberg_climate
37,"tariff, ongoing dispute, dispute subsidies, ongoing dispute subsidies, raise tariff",7,2020-02-14 01:41:10.000000000,37_amazon_airlines_flight_airline
39,"sanders, bernie, bernie sanders, bloomberg, sanders drop",6,2020-02-14 01:41:10.000000000,39_sanders_bernie_bernie sanders_sanders...
40,"gun, gun crime, britain nearly, report gun free, nearly gun",2,2020-02-14 01:41:10.000000000,40_gun_shoot_assault_canada
41,"huawei, network, new charge, chinese tech, quantum",9,2020-02-14 01:41:10.000000000,41_huawei_network_giant huawei_giant
42,"assange, julian assange, julian, extradition, case political matter",2,2020-02-14 01:41:10.000000000,42_assange_julian assange_julian_extradi...
-1,"trump, russia, pardon, coronavirus, say",285,2020-02-18 11:27:16.200000000,-1_coronavirus_covid_say_test
