topic_nr,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
8,report u.s. special forces vets secretly rescued hundreds of afghan allies left for dead amid biden withdrawal,in a big blow ahead of talks taliban refuses to recognise afghan govtworld news,the taliban bring back the feared ministry of vice and virtue,china says it hopes taliban will ensure peaceful transition and stop terrorismthe hindu,china urges afghan taliban to cut ties with all terrorists,taliban spokesman says china can contribute to afghanistan development,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ukraine president zelensky says we will not give anything to anyone,ukraine will not respond to provocations zelensky says,we will restore every house every street every city.zelensky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,as china locks down another city north korea still claims it has no coronavirus cases,almost all patients in south korean psychiatric ward have virus,s.korea urges covid booster shots as severe cases hit record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,portuguese politician implies jewish finance behind israel vaccine push,covid palestinians cancel vaccine swap deal with israel,israel rebuffs who vaccine request for palestinian medics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,worldwide coronavirus cases topfor the first time,coronavirus worldwide deaths pass ,these regimes are using coronavirus to repress their citizens,france on saturday reported a drop ofin hospital coronavisus deaths in last hours,a german exception why the countrys coronavirus death rate is low,france reports overnew coronavirus infections in past hours,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,chinese vaccines sweep much of the world despite concerns,covid is china vaccine success waning in asia,china saysof population have received complete doses of covid vaccines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,chinas xi beijing supports peace talks between russia ukraine,china told its citizens who are currently in ukraine to at home or display the chinese flag on their cars amid russia attacks,ukraine no exception china stresses sovereign rights for all nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,russia coronavirus cases surpass in latest oneday record surge,to survive coronavirus lockdown and avoid a rise in domestic violence russian government recommends staying angry at family for less than minutes,russia declares victory over coronavirus even as cases rise and ends quarantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,brazil has become the country with the thirdhighest number of confirmed coronavirus infections in the world after registering a total of more thancases.,brazil favelas forced to fight coronavirus alone brazil densely populated favela communities have been largely abandoned by the state in the fight against coronavirus. residents are now organizing their own responses to contain the pandemic,coronavirus brazil brazil passes half a million covid deaths as experts warn of worse ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,were in a petri dish how a coronavirus ravaged a cruise ship,passenger tests positive for coronavirus on first cruise ship to sail caribbean,as virus cases rise on quarantined cruise ship passengers are on edge,egypt suez canal ship case adjourned for compensation talks,suez canal starts dredging work to extend double lane,suez canal container ship freed,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,sanctions will put russiaeconomy to the test,us imposes sanctions on russia wagner group over role in libya sudan,how putin prepared for sanctions with tonnes of african gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,taliban kill woman not wearing burqa after vowing to honor rights,a woman tries to flee the taliban lost everything again,afghanistan only female warlord attacked by taliban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,eu to cosy up to putin for sputnik vaccine,argentina signs deal for million doses of russias pioneering sputnik v anticovid vaccine,reuters russia starts production of covid vaccine interfax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,bidenputin will invade ukraine capital kyiv.,biden to visit europe next week to discuss russian invasion of ukraine with european leaders,russian attack on ukraine an attack on security of europe global peace says joe biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,azerbaijani forces humiliate and execute armenian prisoners in new video,azerbaijan armenia continues to attack civilian areas,israeldrones give azerbaijan advantage over armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
